name,latitude,longitude,Unnamed: 3,geometry
Clubhouse,40.7666457,-73.9822674,,"{'location': {'lat': 40.7666457, 'lng': -73.9822674}, 'viewport': {'northeast': {'lat': 40.76801538029149, 'lng': -73.98070006970849}, 'southwest': {'lat': 40.7653174197085, 'lng': -73.98339803029151}}}"
Bad Roman,40.7685526,-73.9831866,,"{'location': {'lat': 40.7685526, 'lng': -73.9831866}, 'viewport': {'northeast': {'lat': 40.7696611802915, 'lng': -73.98221151970849}, 'southwest': {'lat': 40.7669632197085, 'lng': -73.98490948029149}}}"
Center Bar,40.7685526,-73.9831866,,"{'location': {'lat': 40.7685526, 'lng': -73.9831866}, 'viewport': {'northeast': {'lat': 40.7701876802915, 'lng': -73.9816033697085}, 'southwest': {'lat': 40.7674897197085, 'lng': -73.9843013302915}}}"
Tartinery Café - Bar | Columbus Circle,40.7685526,-73.9831866,,"{'location': {'lat': 40.7685526, 'lng': -73.9831866}, 'viewport': {'northeast': {'lat': 40.77022863029149, 'lng': -73.9816033697085}, 'southwest': {'lat': 40.7675306697085, 'lng': -73.9843013302915}}}"
MO Lounge,40.76888509999999,-73.9828022,,"{'location': {'lat': 40.76888509999999, 'lng': -73.9828022}, 'viewport': {'northeast': {'lat': 40.7703114302915, 'lng': -73.98123771970849}, 'southwest': {'lat': 40.7676134697085, 'lng': -73.98393568029151}}}"
Altesi,40.766661,-73.969596,,"{'location': {'lat': 40.766661, 'lng': -73.969596}, 'viewport': {'northeast': {'lat': 40.7681159802915, 'lng': -73.9681920697085}, 'southwest': {'lat': 40.7654180197085, 'lng': -73.9708900302915}}}"
Fasano Caffè,40.76643,-73.9710473,,"{'location': {'lat': 40.76643, 'lng': -73.9710473}, 'viewport': {'northeast': {'lat': 40.7678862302915, 'lng': -73.96961931970849}, 'southwest': {'lat': 40.76518826970851, 'lng': -73.9723172802915}}}"
Mag News Inc,40.7676351,-73.9637678,,"{'location': {'lat': 40.7676351, 'lng': -73.9637678}, 'viewport': {'northeast': {'lat': 40.76902808029149, 'lng': -73.96241851970849}, 'southwest': {'lat': 40.7663301197085, 'lng': -73.9651164802915}}}"
Bottega,40.7678058,-73.9593676,,"{'location': {'lat': 40.7678058, 'lng': -73.9593676}, 'viewport': {'northeast': {'lat': 40.76908023029151, 'lng': -73.9579553697085}, 'southwest': {'lat': 40.76638226970851, 'lng': -73.9606533302915}}}"
Il Divo,40.768135,-73.959204,,"{'location': {'lat': 40.768135, 'lng': -73.959204}, 'viewport': {'northeast': {'lat': 40.7695234302915, 'lng': -73.9577816197085}, 'southwest': {'lat': 40.7668254697085, 'lng': -73.9604795802915}}}"
